URL,Model Name,Model ID,Modified At,Size,Digest,Family,Families,Parameter Size,Quantization Level
http://13.229.146.167:11434/api/tags,llama2:latest,llama2:latest,2024-09-27T19:12:04.666397783Z,3826793677,78e26419b4469263f75331927a00a0284ef6544c1975b826b15abdaef17bb962,llama,llama,7B,Q4_0
http://175.98.89.251:11434/api/tags,hf.co/SakuraLLM/Sakura-14B-Qwen2.5-v1.0-GGUF:latest,hf.co/SakuraLLM/Sakura-14B-Qwen2.5-v1.0-GGUF:latest,2025-02-03T14:32:05.2088333+08:00,8186197030,00f7d9fb19cd324f48c656e655432a7058f0009def68febcc63262bf595d9a41,qwen2,qwen2,14.8B,unknown
http://175.98.89.251:11434/api/tags,hf.co/roleplaiapp/14B-Qwen2.5-Kunou-v1-Q5_K_M-GGUF:latest,hf.co/roleplaiapp/14B-Qwen2.5-Kunou-v1-Q5_K_M-GGUF:latest,2025-02-02T09:50:47.0057448+08:00,10508875782,7b889f60fbaa94fc74079af07c955e42fd7a41cbaa7688be71755c3593a7b9c2,qwen2,qwen2,14.8B,unknown
http://175.98.89.251:11434/api/tags,hf.co/winninghealth/WiNGPT-Babel:Q8_0,hf.co/winninghealth/WiNGPT-Babel:Q8_0,2025-01-29T21:54:40.252327+08:00,1646570525,fc3b0abf4d33d97abfe5d67eb9a690e940355aab1f62eb27a6d4a958e5e7e0d1,qwen2,qwen2,1.54B,unknown
http://175.98.89.251:11434/api/tags,gemma2:9b,gemma2:9b,2024-11-23T18:14:50.9976458+08:00,5443152417,ff02c3702f322b9e075e9568332d96c0a7028002f1a5a056e0a6784320a4db0b,gemma2,gemma2,9.2B,Q4_0
http://175.98.89.251:11434/api/tags,hf.co/SakuraLLM/Sakura-14B-Qwen2.5-v1.0-GGUF:latest,hf.co/SakuraLLM/Sakura-14B-Qwen2.5-v1.0-GGUF:latest,2025-02-03T14:32:05.2088333+08:00,8186197030,00f7d9fb19cd324f48c656e655432a7058f0009def68febcc63262bf595d9a41,qwen2,qwen2,14.8B,unknown
http://175.98.89.251:11434/api/tags,hf.co/roleplaiapp/14B-Qwen2.5-Kunou-v1-Q5_K_M-GGUF:latest,hf.co/roleplaiapp/14B-Qwen2.5-Kunou-v1-Q5_K_M-GGUF:latest,2025-02-02T09:50:47.0057448+08:00,10508875782,7b889f60fbaa94fc74079af07c955e42fd7a41cbaa7688be71755c3593a7b9c2,qwen2,qwen2,14.8B,unknown
http://175.98.89.251:11434/api/tags,hf.co/winninghealth/WiNGPT-Babel:Q8_0,hf.co/winninghealth/WiNGPT-Babel:Q8_0,2025-01-29T21:54:40.252327+08:00,1646570525,fc3b0abf4d33d97abfe5d67eb9a690e940355aab1f62eb27a6d4a958e5e7e0d1,qwen2,qwen2,1.54B,unknown
http://175.98.89.251:11434/api/tags,gemma2:9b,gemma2:9b,2024-11-23T18:14:50.9976458+08:00,5443152417,ff02c3702f322b9e075e9568332d96c0a7028002f1a5a056e0a6784320a4db0b,gemma2,gemma2,9.2B,Q4_0
http://194.195.90.193:11434/api/tags,deepseek-r1:1.5b,deepseek-r1:1.5b,2025-01-30T01:03:58.039697288+07:00,1117322599,a42b25d8c10a841bd24724309898ae851466696a7d7f3a0a408b895538ccbc96,qwen2,qwen2,1.8B,Q4_K_M
http://122.116.109.94:11434/api/tags,llama3.2:latest,llama3.2:latest,2025-01-29T17:51:29.109650202Z,2019393189,a80c4f17acd55265feec403c7aef86be0c25983ab279d83f3bcd3abbcb5b8b72,llama,llama,3.2B,Q4_K_M
http://13.229.146.167:11434/api/tags,qwen2.5:1.5b,qwen2.5:1.5b,2025-01-01T22:10:38.66143739Z,986061892,65ec06548149b04c096a120e4a6da9d4017ea809c91734ea5631e89f96ddc57b,qwen2,qwen2,1.5B,Q4_K_M
http://13.229.146.167:11434/api/tags,qwen2.5:0.5b,qwen2.5:0.5b,2025-01-01T19:07:27.387803743Z,397821319,a8b0c51577010a279d933d14c2a8ab4b268079d44c5c8830c0a93900f1827c67,qwen2,qwen2,494.03M,Q4_K_M
http://13.229.146.167:11434/api/tags,qwen:0.5b,qwen:0.5b,2024-09-27T19:12:09.342251473Z,394998579,b5dc5e784f2a3ee1582373093acf69a2f4e2ac1710b253a001712b86a61f88bb,qwen2,qwen2,620M,Q4_0
http://13.229.146.167:11434/api/tags,llama2:latest,llama2:latest,2024-09-27T19:12:04.666397783Z,3826793677,78e26419b4469263f75331927a00a0284ef6544c1975b826b15abdaef17bb962,llama,llama,7B,Q4_0
http://140.122.121.219:11434/api/tags,llama3:latest,llama3:latest,2024-07-20T17:13:42.453736118+08:00,4661224676,365c0bd3c000a25d28ddbf732fe1c6add414de7275464c4e4d1c3b5fcb5d8ad1,llama,llama,8.0B,Q4_0
http://13.76.73.247:8001/api/tags,llama3.1:latest,llama3.1:latest,2025-01-23T03:29:14.154274924Z,4920753328,46e0c10c039e019119339687c3c1757cc81b9da49709a3b3924863ba87ca666e,llama,llama,8.0B,Q4_K_M
http://140.122.121.219:11434/api/tags,llama3:latest,llama3:latest,2024-07-20T17:13:42.453736118+08:00,4661224676,365c0bd3c000a25d28ddbf732fe1c6add414de7275464c4e4d1c3b5fcb5d8ad1,llama,llama,8.0B,Q4_0
http://114.34.28.79:11434/api/tags,qwen2:72b,qwen2:72b,2025-01-09T09:03:29.532489733+08:00,41231744117,93563ef658b23ff5341f9d6b1660c62cfb903335c21bdb6113ef9c838e7fcf54,qwen2,qwen2,72.7B,Q4_0
